Ts = 200ms,RAW,/10
0,650,65
200,650,65
400,725,72.5
600,625,62.5
800,650,65
1000,550,55
1200,575,57.5
1400,650,65
1600,575,57.5
1800,700,70
2000,650,65
2200,800,80
2400,550,55
2600,675,67.5
2800,600,60
3000,550,55
3200,750,75
3400,650,65
3600,725,72.5
3800,650,65
4000,650,65
4200,625,62.5
4400,600,60
4600,650,65
4800,625,62.5
5000,750,75
5200,725,72.5
5400,600,60
5600,675,67.5
5800,675,67.5
6000,625,62.5
6200,650,65
6400,625,62.5
6600,675,67.5
6800,675,67.5
7000,800,80
7200,700,70
7400,625,62.5
7600,675,67.5
7800,600,60
8000,650,65
8200,875,87.5
8400,675,67.5
8600,650,65
8800,575,57.5
9000,675,67.5
9200,625,62.5
9400,650,65
9600,550,55
9800,675,67.5
10000,750,75
10200,650,65
10400,725,72.5
10600,625,62.5
10800,525,52.5
11000,650,65
11200,675,67.5
11400,700,70
11600,700,70
11800,700,70
12000,650,65
12200,650,65
12400,650,65
12600,550,55
12800,675,67.5
13000,725,72.5
13200,725,72.5
13400,675,67.5
13600,625,62.5
13800,700,70
14000,600,60
14200,675,67.5
14400,675,67.5
14600,700,70
14800,800,80
15000,650,65
15200,650,65
15400,625,62.5
15600,625,62.5
15800,600,60
16000,675,67.5
16200,700,70
16400,725,72.5
16600,775,77.5
16800,675,67.5
17000,600,60
17200,650,65
17400,600,60
17600,725,72.5
17800,775,77.5
18000,700,70
18200,675,67.5
18400,650,65
18600,700,70
18800,700,70
19000,675,67.5
19200,725,72.5
19400,700,70
19600,750,75
19800,700,70
20000,625,62.5
20200,725,72.5
20400,650,65
20600,600,60
20800,650,65
21000,750,75
21200,700,70
21400,800,80
21600,700,70
21800,625,62.5
22000,675,67.5
22200,675,67.5
22400,700,70
22600,750,75
22800,750,75
23000,700,70
23200,775,77.5
23400,700,70
23600,600,60
23800,750,75
24000,750,75
24200,750,75
24400,825,82.5
24600,675,67.5
24800,700,70
25000,650,65
25200,725,72.5
25400,800,80
25600,700,70
25800,825,82.5
26000,725,72.5
26200,750,75
26400,750,75
26600,650,65
26800,750,75
27000,700,70
27200,750,75
27400,800,80
27600,725,72.5
27800,700,70
28000,700,70
28200,750,75
28400,725,72.5
28600,725,72.5
28800,700,70
29000,750,75
29200,875,87.5
29400,775,77.5
29600,775,77.5
29800,675,67.5
30000,775,77.5
30200,800,80
30400,750,75
30600,800,80
30800,750,75
31000,850,85
31200,775,77.5
